# native-membership.tsv — the platform's implemented surface (upstream boundary program, batch 5).
# Membership is OURS; the signature text is generated from the pinned checkouts.
# constant	fqn	signatureKey — sorted by fqn, then key.
ASSERT_IS__ANY_1__ANY_1__STRING_1	meta::pure::functions::asserts::assertIs	meta::pure::functions::asserts::assertIs(meta::pure::metamodel::type::Any[1],meta::pure::metamodel::type::Any[1],meta::pure::metamodel::type::String[1])
ASSERT_IS__ANY_1__ANY_1__STRING_1__ANY_MANY	meta::pure::functions::asserts::assertIs	meta::pure::functions::asserts::assertIs(meta::pure::metamodel::type::Any[1],meta::pure::metamodel::type::Any[1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Any[*])
ASSERT_JSON_STRINGS_EQUAL__STRING_1__STRING_1	meta::pure::functions::asserts::assertJsonStringsEqual	meta::pure::functions::asserts::assertJsonStringsEqual(meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::String[1])
ASSERT_NOT_EMPTY__ANY_MANY	meta::pure::functions::asserts::assertNotEmpty	meta::pure::functions::asserts::assertNotEmpty(meta::pure::metamodel::type::Any[*])
ASSERT_NOT_EMPTY__ANY_MANY__FN_1	meta::pure::functions::asserts::assertNotEmpty	meta::pure::functions::asserts::assertNotEmpty(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::function::Function<{->meta::pure::metamodel::type::String[1]}>[1])
ASSERT_NOT_EMPTY__ANY_MANY__STRING_1	meta::pure::functions::asserts::assertNotEmpty	meta::pure::functions::asserts::assertNotEmpty(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::String[1])
ASSERT_NOT_EMPTY__ANY_MANY__STRING_1__ANY_MANY	meta::pure::functions::asserts::assertNotEmpty	meta::pure::functions::asserts::assertNotEmpty(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Any[*])
ASSERT_NOT_EQUALS__ANY_MANY__ANY_MANY	meta::pure::functions::asserts::assertNotEquals	meta::pure::functions::asserts::assertNotEquals(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::Any[*])
ASSERT_NOT_EQUALS__ANY_MANY__ANY_MANY__FN_1	meta::pure::functions::asserts::assertNotEquals	meta::pure::functions::asserts::assertNotEquals(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::Any[*],meta::pure::metamodel::function::Function<{->meta::pure::metamodel::type::String[1]}>[1])
ASSERT_NOT_EQUALS__ANY_MANY__ANY_MANY__STRING_1	meta::pure::functions::asserts::assertNotEquals	meta::pure::functions::asserts::assertNotEquals(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::String[1])
ASSERT_NOT_EQUALS__ANY_MANY__ANY_MANY__STRING_1__ANY_MANY	meta::pure::functions::asserts::assertNotEquals	meta::pure::functions::asserts::assertNotEquals(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Any[*])
ASSERT_SAME_ELEMENTS__ANY_MANY__ANY_MANY	meta::pure::functions::asserts::assertSameElements	meta::pure::functions::asserts::assertSameElements(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::Any[*])
ASSERT_SAME_ELEMENTS__ANY_MANY__ANY_MANY__FN_1	meta::pure::functions::asserts::assertSameElements	meta::pure::functions::asserts::assertSameElements(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::Any[*],meta::pure::metamodel::function::Function<{->meta::pure::metamodel::type::String[1]}>[1])
ASSERT_SAME_ELEMENTS__ANY_MANY__ANY_MANY__STRING_1	meta::pure::functions::asserts::assertSameElements	meta::pure::functions::asserts::assertSameElements(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::String[1])
ASSERT_SAME_ELEMENTS__ANY_MANY__ANY_MANY__STRING_1__ANY_MANY	meta::pure::functions::asserts::assertSameElements	meta::pure::functions::asserts::assertSameElements(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Any[*])
ASSERT_SIZE__ANY_MANY__INTEGER_1	meta::pure::functions::asserts::assertSize	meta::pure::functions::asserts::assertSize(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::Integer[1])
ASSERT_SIZE__ANY_MANY__INTEGER_1__FN_1	meta::pure::functions::asserts::assertSize	meta::pure::functions::asserts::assertSize(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::Integer[1],meta::pure::metamodel::function::Function<{->meta::pure::metamodel::type::String[1]}>[1])
ASSERT_SIZE__ANY_MANY__INTEGER_1__STRING_1	meta::pure::functions::asserts::assertSize	meta::pure::functions::asserts::assertSize(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::Integer[1],meta::pure::metamodel::type::String[1])
ASSERT_SIZE__ANY_MANY__INTEGER_1__STRING_1__ANY_MANY	meta::pure::functions::asserts::assertSize	meta::pure::functions::asserts::assertSize(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::Integer[1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Any[*])
FAIL	meta::pure::functions::asserts::fail	meta::pure::functions::asserts::fail()
FAIL__STRING_1	meta::pure::functions::asserts::fail	meta::pure::functions::asserts::fail(meta::pure::metamodel::type::String[1])
AND__BOOLEAN_1__BOOLEAN_1	meta::pure::functions::boolean::and	meta::pure::functions::boolean::and(meta::pure::metamodel::type::Boolean[1],meta::pure::metamodel::type::Boolean[1])
BETWEEN__DATE	meta::pure::functions::boolean::between	meta::pure::functions::boolean::between(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::Date[0..1])
BETWEEN__NUMBER	meta::pure::functions::boolean::between	meta::pure::functions::boolean::between(meta::pure::metamodel::type::Number[0..1],meta::pure::metamodel::type::Number[0..1],meta::pure::metamodel::type::Number[0..1])
BETWEEN__STRING	meta::pure::functions::boolean::between	meta::pure::functions::boolean::between(meta::pure::metamodel::type::String[0..1],meta::pure::metamodel::type::String[0..1],meta::pure::metamodel::type::String[0..1])
EQ__ANY_1__ANY_1	meta::pure::functions::boolean::eq	meta::pure::functions::boolean::eq(meta::pure::metamodel::type::Any[1],meta::pure::metamodel::type::Any[1])
EQUAL__ANY_MANY__ANY_MANY	meta::pure::functions::boolean::equal	meta::pure::functions::boolean::equal(meta::pure::metamodel::type::Any[*],meta::pure::metamodel::type::Any[*])
