# PROTOCOL-TYPE ROSTER — every @JsonSubTypes tag the pinned engine's protocol jars declare (+ the extension registry),
# COVERED when a source in the engine corpus, the fixtures or our own test snippets reaches it (ProtocolRosterCensusTest).
# THE LEDGER IS THIS FILE: a bump that adds or removes a tag, or moves a tag between COVERED and UNCOVERED, is a reviewed diff. Regenerate: -Droster.generate=1.
bucketMetricValueAggregate	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.aggregations.BucketMetricValueAggregate	UNCOVERED
bucketScriptAggregation	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.aggregations.BucketScriptAggregation	UNCOVERED
bucketSelectorAggregation	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.aggregations.BucketSelectorAggregation	UNCOVERED
bucketSortAggregation	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.aggregations.BucketSortAggregation	UNCOVERED
bulkRequest	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.global.bulk.BulkRequest	UNCOVERED
businessMilestoning	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.relational.model.milestoning.BusinessMilestoning	COVERED
businessSnapshotMilestoning	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.relational.model.milestoning.BusinessSnapshotMilestoning	COVERED
byteArray	org.finos.legend.engine.protocol.pure.m3.valuespecification.constant.datatype.primitive.CByteArray	COVERED
byteNumberProperty	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.mapping.ByteNumberProperty	UNCOVERED
byteType	org.finos.legend.engine.protocol.deephaven.metamodel.type.ByteType	UNCOVERED
bytes	org.finos.legend.engine.protocol.protobuf3.metamodel.Bytes	UNCOVERED
cardinalityAggregate	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.aggregations.CardinalityAggregate	UNCOVERED
cardinalityAggregation	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.aggregations.CardinalityAggregation	UNCOVERED
cast	org.finos.legend.engine.protocol.sql.metamodel.Cast	UNCOVERED
charGroupTokenizer	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.analysis.CharGroupTokenizer	UNCOVERED
charType	org.finos.legend.engine.protocol.deephaven.metamodel.type.CharType	UNCOVERED
childrenAggregate	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.aggregations.ChildrenAggregate	UNCOVERED
childrenAggregation	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.aggregations.ChildrenAggregation	UNCOVERED
class	org.finos.legend.engine.protocol.pure.v1.model.valueSpecification.deprecated.Class	COVERED
classInstance	org.finos.legend.engine.protocol.pure.m3.valuespecification.constant.classInstance.ClassInstance	COVERED
closePointInTimeRequest	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.global.closepointintime.ClosePointInTimeRequest	UNCOVERED
coalesceOperation	org.finos.legend.engine.protocol.deephaven.metamodel.CoalesceOperation	UNCOVERED
collection	org.finos.legend.engine.protocol.pure.m3.valuespecification.Collection	COVERED
collectionColumnType	org.finos.legend.engine.protocol.sql.metamodel.CollectionColumnType	UNCOVERED
column	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.relational.model.operation.TableAliasColumn	COVERED
columnType	org.finos.legend.engine.protocol.sql.metamodel.ColumnType	UNCOVERED
combination	org.finos.legend.engine.protocol.pure.v1.model.context.PureModelContextCombination	UNCOVERED
combined	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.dataSpace.DataSpaceSupportCombinedInfo	COVERED
combinedFieldsQuery	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.querydsl.CombinedFieldsQuery	UNCOVERED
commonGramsTokenFilter	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.analysis.CommonGramsTokenFilter	UNCOVERED
commonTermsQuery	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.querydsl.CommonTermsQuery	UNCOVERED
comparisonExpression	org.finos.legend.engine.protocol.sql.metamodel.ComparisonExpression	UNCOVERED
comparisonOperatorExpression	org.finos.legend.engine.protocol.deephaven.metamodel.ComparisonOperatorExpression	UNCOVERED
completionProperty	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.mapping.CompletionProperty	UNCOVERED
completionSuggest	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.global.search.types.CompletionSuggest	UNCOVERED
completionSuggester	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.global.search.types.CompletionSuggester	UNCOVERED
complex	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.service.model.ComplexTypeReference	COVERED
composite	org.finos.legend.engine.protocol.pure.v1.model.executionPlan.CompositeExecutionPlan	UNCOVERED
compositeAggregate	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.aggregations.CompositeAggregate	UNCOVERED
compositeAggregation	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.aggregations.CompositeAggregation	UNCOVERED
compositeBucket	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.aggregations.CompositeBucket	UNCOVERED
compoundWordTokenFilterBase	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.analysis.CompoundWordTokenFilterBase	UNCOVERED
computedFieldValue	org.finos.legend.engine.protocol.mongodb.schema.metamodel.aggregation.ComputedFieldValue	UNCOVERED
conditionTokenFilter	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.analysis.ConditionTokenFilter	UNCOVERED
connection	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.connection.PackageableConnection	COVERED
connectionPointer	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.connection.ConnectionPointer	COVERED
connectionValue	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.persistence.service.parameter.ConnectionValue	COVERED
constant	org.finos.legend.engine.protocol.pure.v1.model.executionPlan.nodes.ConstantExecutionNode	UNCOVERED
constantKeywordProperty	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.mapping.ConstantKeywordProperty	UNCOVERED
constantScoreQuery	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.querydsl.ConstantScoreQuery	UNCOVERED
corePropertyBase	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.mapping.CorePropertyBase	UNCOVERED
countRequest	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.global.count.CountRequest	UNCOVERED
createAndPopulateTempTable	org.finos.legend.engine.protocol.pure.v1.model.executionPlan.nodes.CreateAndPopulateTempTableExecutionNode	UNCOVERED
createOperation	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.global.bulk.CreateOperation	UNCOVERED
createRequest	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.indices.create.CreateRequest	UNCOVERED
cronTrigger	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.persistence.trigger.CronTrigger	UNCOVERED
cumulativeCardinalityAggregate	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.aggregations.CumulativeCardinalityAggregate	UNCOVERED
cumulativeCardinalityAggregation	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.aggregations.CumulativeCardinalityAggregation	UNCOVERED
cumulativeSumAggregation	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.aggregations.CumulativeSumAggregation	UNCOVERED
currentTime	org.finos.legend.engine.protocol.sql.metamodel.CurrentTime	UNCOVERED
currentUser	org.finos.legend.engine.protocol.sql.metamodel.CurrentUser	UNCOVERED
customType	org.finos.legend.engine.protocol.deephaven.metamodel.type.CustomType	UNCOVERED
data	org.finos.legend.engine.protocol.pure.v1.model.context.PureModelContextData	COVERED
dataElement	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.data.DataElement	COVERED
dataQuality	org.finos.legend.engine.protocol.pure.v1.model.executionPlan.nodes.externalFormat.DataQualityExecutionNode	UNCOVERED
dataQualityPropertyGraphFetchTree	org.finos.legend.engine.protocol.dataquality.metamodel.DataQualityPropertyGraphFetchTree	COVERED
dataQualityRelationComparison	org.finos.legend.engine.protocol.dataquality.metamodel.DataQualityRelationComparison	COVERED
dataQualityRelationComparisonTest	org.finos.legend.engine.protocol.dataquality.metamodel.testable.DataQualityRelationComparisonTest	COVERED
dataQualityRelationComparisonTestSuite	org.finos.legend.engine.protocol.dataquality.metamodel.testable.DataQualityRelationComparisonTestSuite	COVERED
dataQualityRelationValidationTest	org.finos.legend.engine.protocol.dataquality.metamodel.testable.DataQualityRelationValidationTest	COVERED
dataQualityRelationValidationTestSuite	org.finos.legend.engine.protocol.dataquality.metamodel.testable.DataQualityRelationValidationTestSuite	COVERED
dataQualityRootGraphFetchTree	org.finos.legend.engine.protocol.dataquality.metamodel.DataQualityRootGraphFetchTree	COVERED
dataQualityValidation	org.finos.legend.engine.protocol.dataquality.metamodel.DataQuality	COVERED
dataSpace	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.dataSpace.DataSpace	COVERED
dataSpaceDataQualityExecutionContext	org.finos.legend.engine.protocol.dataquality.metamodel.DataSpaceDataQualityExecutionContext	COVERED
dataSpacePackageableElementExecutable	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.dataSpace.DataSpacePackageableElementExecutable	COVERED
dataSpaceTemplateExecutable	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.dataSpace.DataSpaceTemplateExecutable	COVERED
dataType	org.finos.legend.engine.protocol.pure.v1.model.executionPlan.result.DataTypeResultType	UNCOVERED
dataTypeConstructor	org.finos.legend.engine.protocol.haskell.metamodel.DataTypeConstructor	UNCOVERED
databaseCommand	org.finos.legend.engine.protocol.mongodb.schema.metamodel.aggregation.DatabaseCommand	UNCOVERED
databaseInstance	org.finos.legend.engine.protocol.pure.v1.model.valueSpecification.DatabaseInstance	UNCOVERED
databricks	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.relational.connection.specification.DatabricksDatasourceSpecification	COVERED
dataqualityRelationValidation	org.finos.legend.engine.protocol.dataquality.metamodel.DataqualityRelationValidation	COVERED
dateDecayFunction	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.querydsl.DateDecayFunction	UNCOVERED
dateDistanceFeatureQuery	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.querydsl.DateDistanceFeatureQuery	UNCOVERED
dateHistogramAggregate	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.aggregations.DateHistogramAggregate	UNCOVERED
dateHistogramAggregation	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.aggregations.DateHistogramAggregation	UNCOVERED
dateHistogramBucket	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.aggregations.DateHistogramBucket	UNCOVERED
dateNanosProperty	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.mapping.DateNanosProperty	UNCOVERED
dateProperty	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.mapping.DateProperty	UNCOVERED
dateRangeAggregate	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.aggregations.DateRangeAggregate	UNCOVERED
dateRangeAggregation	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.aggregations.DateRangeAggregation	UNCOVERED
dateRangeProperty	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.mapping.DateRangeProperty	UNCOVERED
dateRangeQuery	org.finos.legend.engine.protocol.store.elasticsearch.v7.specification.types.querydsl.DateRangeQuery	UNCOVERED
dateTime	org.finos.legend.engine.protocol.pure.m3.valuespecification.constant.datatype.primitive.CDateTime	COVERED
